text,label
"Hey, I want to buy this phone case but not sure if it fits my model. Can you help me figure that out?",Product Inquiry
"Wow, I'm so impressed! This product makes my life so much easier. I'm telling all my friends about it!",Positive Feedback
Could you give me details on the color options available for this dress? I have a particular shade in mind before I commit to buying.,Product Inquiry
So disappointed! The book I ordered arrived with a torn cover and pages were wrinkled. I don't think I can read this now.,Negative Feedback
"I used this skincare product for a month, and my skin feels incredible! It's glowing, and I've noticed a significant reduction in blemishes. So pleased with this find!",Positive Feedback
"The coffee maker leaks every time I use it. I followed all the instructions, but it’s making a mess on my counter.",Negative Feedback
"Just wanted to say thank you for the incredible customer service. The item I purchased was fantastic, and the team was very helpful when I had a question!",Positive Feedback
My new sneakers are not only stylish but super comfy! I've already received so many compliments. Can't wait to wear them everywhere!,Positive Feedback
"I'm trying to figure out how to use the new coffee maker I bought, but the guide is unclear. Can anyone provide tips or support?",Request for Support
I was really disappointed with the condition of the item I received. The packaging was damaged and it seems like the product was previously used.,Negative Feedback
"I was super excited about this gadget, but it stopped working after two uses. I feel ripped off!",Negative Feedback
"I'm having trouble resetting my account password, and I haven't received the reset email. Could someone assist me with this?",Request for Support
"Wow, the delivery was faster than I expected! The product was exactly as described and works wonderfully. I'm really satisfied with my shopping experience!",Positive Feedback
"I was really looking forward to this item based on the reviews, but it did not live up to expectations at all.",Negative Feedback
I was browsing through your website and I'm curious if you have any bundle deals for this item. Are there discounts for purchasing multiple?,Product Inquiry
"I received my blender, but the instruction manual was missing! How can I get a new one? Thanks!",Request for Support
Can someone confirm if the size chart for these shoes is accurate? I usually wear a size 10.5 but am worried about the fit.,Product Inquiry
"I recently purchased a table lamp, and I want to know if there are different light settings or just one?",Product Inquiry
I am really interested in this item but what are the dimensions? I want to make sure it fits in my space before I order.,Product Inquiry
"Had a small issue with my initial order but the customer service was super helpful and resolved it quickly. Plus, the product is fantastic!",Positive Feedback
"I ordered a set of kitchen knives, but one arrived damaged. Can you arrange a replacement for me?",Request for Support
I'm curious about the battery life of this device. How long does it usually last with regular use?,Product Inquiry
"Excuse me, is there a way to track my order for this particular gaming console?",Product Inquiry
Can you tell me if this shirt is available in a size small?,Product Inquiry
"I read that this blender can crush ice, but does it have a setting for smoothies specifically?",Product Inquiry
The blender I bought is making a weird noise when I use it. Is this normal or should it be checked?,Request for Support
"I’ve been trying to contact customer service about my refund, but I haven’t heard back. Does anyone know how to expedite this?",Request for Support
Could you provide me with the dimensions of this rug? I'm trying to find the right size for my living room.,Product Inquiry
"I'm looking at this gadget, but I can't find any user reviews. Can someone help me with that?",Product Inquiry
Can you tell me what the warranty is on this item?,Product Inquiry
"I bought these headphones last week, and wow, the sound quality is amazing! They also fit perfectly, which is a plus for long listening sessions. Totally worth it!",Positive Feedback
"Not happy with this blender. It leaks every time I try to use it, and I've only had it for a week!",Negative Feedback
Could you confirm if the tablets are gluten-free? I have dietary restrictions and need to check.,Product Inquiry
What are the dimensions of this table? I need to check if it will fit in my space.,Product Inquiry
"I’m thrilled with my purchase! The colors are vibrant, and the fabric feels soft and durable. Can’t wait to wear it out!",Positive Feedback
"The customer service was fantastic! They helped me choose the perfect gift for my sister's birthday, and she loved it! I will definitely make this my go-to store for gift shopping.",Positive Feedback
The blender I bought stopped working after just a week of use. What a waste of money! I won't be shopping here again unless this gets sorted out.,Negative Feedback
